size, time
1500000, 3.7323e+07
1450000, 3.1330e+07
1400000, 2.8757e+07
1350000, 2.7628e+07
1300000, 2.6185e+07
1250000, 2.5311e+07
1200000, 2.4146e+07
1150000, 2.1950e+07
1100000, 2.0688e+07
1050000, 1.9586e+07
1000000, 1.7917e+07
950000, 1.6413e+07
900000, 1.2276e+07
850000, 1.4011e+07
800000, 1.2796e+07
750000, 1.1998e+07
700000, 1.0992e+07
650000, 9.9846e+06
600000, 9.4855e+06
550000, 8.7395e+06
500000, 8.2040e+06
450000, 7.9650e+06
400000, 7.2637e+06
350000, 3.3806e+06
300000, 6.8689e+06
250000, 6.3051e+06
200000, 5.7611e+06
150000, 5.3814e+06
100000, 4.9098e+06
50000, 4.4764e+06
