size, time
1500000, 2.2526e+08
1450000, 1.8591e+08
1400000, 1.7205e+08
1350000, 1.6502e+08
1300000, 1.5755e+08
1250000, 1.5183e+08
1200000, 1.4539e+08
1150000, 1.3979e+08
1100000, 1.3226e+08
1050000, 1.2520e+08
1000000, 1.1915e+08
950000, 1.1242e+08
900000, 1.0676e+08
850000, 9.9816e+07
800000, 9.4004e+07
750000, 8.8406e+07
700000, 8.0968e+07
650000, 7.4678e+07
600000, 6.9206e+07
550000, 6.3694e+07
500000, 5.7632e+07
450000, 5.0042e+07
400000, 4.4355e+07
350000, 3.8643e+07
300000, 3.2776e+07
250000, 2.7017e+07
200000, 2.1100e+07
150000, 1.5604e+07
100000, 1.0028e+07
50000, 4.7791e+06
