size, time
1500000, 1.0558e+08
1450000, 1.0056e+08
1400000, 9.6235e+07
1350000, 9.3761e+07
1300000, 8.9365e+07
1250000, 8.5772e+07
1200000, 8.1108e+07
1150000, 7.8699e+07
1100000, 7.4217e+07
1050000, 7.0381e+07
1000000, 6.7736e+07
950000, 6.3120e+07
900000, 6.0862e+07
850000, 5.6673e+07
800000, 5.3132e+07
750000, 4.9742e+07
700000, 4.5970e+07
650000, 4.1786e+07
600000, 4.0144e+07
550000, 3.5735e+07
500000, 3.2084e+07
450000, 2.8687e+07
400000, 2.4915e+07
350000, 2.1911e+07
300000, 1.8492e+07
250000, 1.5222e+07
200000, 1.2018e+07
150000, 8.7566e+06
100000, 5.5950e+06
50000, 2.6690e+06
