size, time
5000, 6.000041961669922e6
55000, 7.999897003173828e6
105000, 1.2000083923339844e7
155000, 1.5000104904174805e7
205000, 1.3000011444091797e7
255000, 1.699995994567871e7
305000, 2.3000001907348633e7
355000, 2.499985694885254e7
405000, 3.099989891052246e7
455000, 3.500008583068848e7
505000, 4.09998893737793e7
555000, 4.199981689453125e7
605000, 4.999995231628418e7
655000, 5.299997329711914e7
705000, 5.900001525878906e7
755000, 6.5000057220458984e7
805000, 6.700015068054199e7
855000, 7.299995422363281e7
905000, 8.000016212463379e7
955000, 8.100008964538574e7
1005000, 9.000015258789062e7
1055000, 9.299993515014648e7
1105000, 9.69998836517334e7
1155000, 9.999990463256836e7
1205000, 1.0299992561340332e8
1255000, 1.100001335144043e8
1305000, 1.119999885559082e8
1355000, 1.2100005149841309e8
1405000, 1.230001449584961e8
1455000, 1.3199996948242188e8
