size, time
5000, 0.0
55000, 4.0001869201660156e6
105000, 6.999969482421875e6
155000, 9.000062942504883e6
205000, 1.4000177383422852e7
255000, 1.9999980926513672e7
305000, 2.1999835968017578e7
355000, 2.6000022888183594e7
405000, 2.9999971389770508e7
455000, 3.099989891052246e7
505000, 4.200005531311035e7
555000, 4.09998893737793e7
605000, 4.700016975402832e7
655000, 4.900002479553223e7
705000, 5.3999900817871094e7
755000, 6.100010871887207e7
805000, 6.199979782104492e7
855000, 6.599998474121094e7
905000, 7.299995422363281e7
955000, 7.599997520446777e7
1005000, 8.299994468688965e7
1055000, 8.299994468688965e7
1105000, 8.999991416931152e7
1155000, 9.400010108947754e7
1205000, 9.799981117248535e7
1255000, 1.0199999809265137e8
1305000, 1.0600018501281738e8
1355000, 1.1400008201599121e8
1405000, 1.1500000953674316e8
1455000, 1.2199997901916504e8
