size, time
5000, 1.9998550415039062e6
55000, 1.7999887466430664e7
105000, 2.79998779296875e7
155000, 4.6000003814697266e7
205000, 5.799984931945801e7
255000, 7.800006866455078e7
305000, 9.599995613098145e7
355000, 9.300017356872559e7
405000, 1.0699987411499023e8
455000, 1.1599993705749512e8
505000, 1.3499999046325684e8
555000, 1.510000228881836e8
605000, 1.6499996185302734e8
655000, 1.700000762939453e8
705000, 1.82999849319458e8
755000, 2.0199990272521973e8
805000, 2.1199989318847656e8
855000, 2.239999771118164e8
905000, 2.4199986457824707e8
955000, 2.6200008392333984e8
1005000, 2.650001049041748e8
1055000, 2.869999408721924e8
1105000, 2.990000247955322e8
1155000, 3.0500006675720215e8
1205000, 3.279998302459717e8
1255000, 3.6299991607666016e8
1305000, 3.320000171661377e8
1355000, 3.560001850128174e8
1405000, 3.669998645782471e8
1455000, 3.810000419616699e8
