size, time
5000, 0.0
55000, 6.000041961669922e6
105000, 9.999990463256836e6
155000, 1.399993896484375e7
205000, 1.8999814987182617e7
255000, 2.3999929428100586e7
305000, 3.000020980834961e7
355000, 3.299999237060547e7
405000, 3.600001335144043e7
455000, 4.09998893737793e7
505000, 4.999995231628418e7
555000, 5.299997329711914e7
605000, 5.59999942779541e7
655000, 6.400012969970703e7
705000, 6.90000057220459e7
755000, 7.299995422363281e7
805000, 7.999992370605469e7
855000, 8.299994468688965e7
905000, 8.999991416931152e7
955000, 9.599995613098145e7
1005000, 1.0199999809265137e8
1055000, 1.0399985313415527e8
1105000, 1.099998950958252e8
1155000, 1.1599993705749512e8
1205000, 1.2299990653991699e8
1255000, 1.2800002098083496e8
1305000, 1.3100004196166992e8
1355000, 1.380000114440918e8
1405000, 1.4299988746643066e8
1455000, 1.489999294281006e8
